,tweet,class
0,@kooawr watching amas :)),0
1,"still can't wrap my head around why this zoo close to where I live had a phantom cave, and had a dude playing him. he'd appear at certain times of the day. and if you went up to him you'd get a stamp on your hand from his ring.",0
2,SAVE YOUR TEARS FOR ANOTHER DAY,0
3,Good day!!!  #surfing #somewhere #goodwave #enjoy 場所: Timmy's Cafe  https://t.co/apFT9rqFyp,0
4,@poppingin50 have a nice day yh,0
5,"@Rayyyven_ I basically finished my entire house today, minus one tree I’m doing, but it took all day! 😫",0
6,Uri Hyeop singing Spring Day - BTS Gosh! I need a full version jebal🥺 @drippin #드리핀 #DRIPPIN #이협 #LEEHYEOP  https://t.co/89eFzX22Kr,0
7,Today is just be mean to kleo day I see.,0
8,@lili_saaa have a nice day!💗,0
9,@KYEOMCUTiE_ @svtot13uwu @MnetMAMA  https://t.co/SHeFi6UagH,0
10,"@Anonymous__Paul I started this account when i got hit with the 7 day. If I get hit with the 14, well... I'm outta here.",0
11,@TheMesutOzil We'll envy you when you're home and our day is starting.,0
12,@woogie_dy &lt;3 #AMAs  #AMAsTNT NCT 127 #NCTzen @NCTsmtown_127,0
13,"I entered @hallmarkchannel's Very Merry Giveaway, part of #CountdowntoChristmas. Enter for a chance to win $10,000, plus a new prize every day. #GiveawayEntry  https://t.co/ozU0j3HDad",0
14,@aboutseagull Have a nice day! Jan lup sarapan sm mandi yaw🤩,0
15,"untreated adhd making me late for work is actually a silver lining cuz doctors wouldn't give a fuck if I was ""just"" suffering from sensory processing and huge emotional problems all day every day",0
16,"@40_head #1 it's a TV show, Tucker is just a talking head reading the prompter at the end of the day... I think he's jealous that Sidney knows things he doesn't, but should.",0
17,@dategguk tentaria com todas as forças,0
18,"@BREAKURHE4RT jangan lupa sarapannn, have a nice day!💗",0
19,@sfeulgie hai great peOple !! 👋🏻  please read this and remember :  ✿. Don't skip your breakfast 🥪 ✿. Don't forget to take a bath 🚿 ✿. Drink lots of water 🥤 ✿. Stay healthy 🙆 ✿. Stay happy ✨  have a nice day 💗  https://t.co/X9PahUUAXH,0
20,Thank you for giving me the day of his resurrection as the day I can powerfully remember this great sacrifice and anticipate the great day of reunion that his resurrection has secured for your children. In Jesus' name I pray. Amen.,0
21,"@baduttkf h-hawwoo mimin( ◜‿◝ )♡   celamat cekullah, hve a nice day huumm(◍•ᴗ•◍)  https://t.co/3aZpRtXbKS",0
22,this day is never ending 😠,0
23,@kookieenaa dont skip ur breakfast n have a nice day,0
24,@CruiseRadio It was so nice. We even drove out to Lake Erie for a beach day. Was beautiful. Sad our cruise on the Oasis of the Seas didn’t work out this year for our annual mother and son cruise. Would have been our 4th cruise together. So first 6+ hr road trip it was!,0
25,@alwaysjakes hey nessie ! ♡ have a wonderful day ahead 🥺,0
26,"@donwinslow On Inauguration Day, and beyond, there is nothing he could say that will rank as a “major” announcement.",0
27,"@upcset have a nice day han,sarapan jgn sampe lewat",0
28,@btsgaveme2wings spring day y life goes on #AMAs #AMAsTNT BTS #ARMY @BTS_twt,0
29,OURS FOR NOT DEMANDING PROMISES MADE BE KEPT  WE HAVE A CROOKED CHIEF JUSTICE AG FBI DIRECTOR AND HOW MANY MORE BUT LISTENING TO BRAGGING EVERY DAY AS TO HOW GREAT HE THINKS HE IS  ARE WE SAFE  NONE OF THIS NEEDED TO HAPPEN AND WE HAVE A ROGUE GESTAPO FBI WITH A DIRECTOR WHO WAS  https://t.co/vsX7fZodGW,0
30,"I literally listen to @Harry_Styles all day at my house, at work, with my son, our support for harry, we love you #AMAsTNT #AMAs",0
31,@LG_Gotham LIAR,0
32,"@ssweetjung hv a great day,don't skip ur breakfast!",0
33,@skijezen hv a nice day🌈 don't skip ur breakfast!!💗,0
34,"@conceptsbot the other day i witnessed a fight between ants and a cockroash, they pulled him from his legs and he kept running but couldn't survive",0
35,@wesew403 @rebeccaballhaus He's been a laughing stock ever since the day we first heard his name decades ago.,0
36,"@SanjayM33162682 Good morning✨  Thank you for your comment 🌹 Looking at the waterfall, I feel that my heart is being purified ✨ The power of nature is great and infinite💓  Have a nice day✨🌹✨🍀✨🌹✨",0
37,"@KagedBeast33 @WKYT You mean EMTs who spent the day cleaning up after riots, treating victims of this gang violence, and extinguishing fires set by arsonists. Yeah, I’ll bet they’d rather have a middle-aged bald, fat guy sticking his dick in them. You’re a true humanitarian.",0
38,I’m bleeding through my van day that’s what I get for listening to girl I should’ve went go get stitches,0
39,"Internet kantor lagi gangguan, gue nganggur, tapi kerjaan banyak 🙂",0
40,saveee your tears for another day,0
41,@KillerfromSpace Actually did a double feature of both movies when they opened on the same day!,0
